marque,nom,puissance,longueur,nbPlaces,nbPortes,prix,prediction
Peugeot,1007 1.4,75,courte,5,5,13750,3
BMW,120i,150,moyenne,5,5,35800,0
Saab,9.3 1.8T,150,longue,5,5,38600,0
Audi,A2 1.4,75,courte,5,5,18310,3
Mercedes,A200,136,moyenne,5,5,25900,0
Audi,A3 2.0 FSI,150,moyenne,5,5,28500,0
Nissan,Almera 1.8,115,moyenne,5,5,16450,0
Mini,Copper 1.6 16V,115,courte,5,5,18200,3
Fiat,Croma 2.2,147,longue,5,5,24780,0
Daihatsu,Cuore 1.0,58,courte,5,3,8850,1
Renault,Espace 2.0T,165,longue,7,5,30350,0
Honda,FR-V 1.7,125,longue,7,5,19550,0
Volkswagen,Golf 2.0 FSI,150,moyenne,5,5,22900,0
Renault,Laguna 2.0T,170,longue,5,5,27300,0
Dacia,Logan 1.6 MPI,90,moyenne,5,5,7500,0
BMW,M5,507,très longue,5,5,94800,2
Hyundaï,Matrix 1.6,103,longue,7,5,15960,0
Nissan,Maxima 3.0 V6,200,très longue,5,5,30000,2
Renault,Megane 2.0 16V,135,moyenne,5,5,22350,0
Ford,Mondeo 1.8,125,longue,5,5,23900,0
Volkswagen,New Beatle 1.8,110,moyenne,5,5,26630,0
Kia,Picanto 1.1,65,courte,5,5,8990,3
Volkswagen,Polo 1.2 6V,55,courte,5,3,12200,1
Nissan,Primera 1.6,109,longue,5,5,18650,0
Mercedes,S500,306,très longue,5,5,101300,2
Volvo,S80 T6,272,très longue,5,5,50500,2
Skoda,Superb 2.8 V6,193,très longue,5,5,31790,2
Seat,Toledo 1.6,102,longue,5,5,18880,0
Volkswagen,Touran 2.0 FSI,150,longue,7,5,27340,0
Renault,Vel Satis 3.5 V6,245,très longue,5,5,49200,2
Jaguar,X-Type 2.5 V6,197,longue,5,5,37100,0
Lancia,Ypsilon 1.4 16V,90,courte,5,3,13500,1
